invoice_id,status,amount_cents,refunded_cents,currency,settled_at
inv_1001,paid,45000,0,USD,2026-07-01T09:14:00Z
inv_1002,PAID,12500,0,usd,2026-07-01T22:05:00Z
inv_1003,completed,30000,0,USD,2026-07-02T11:30:00Z
inv_1004,voided,99900,0,USD,2026-07-02T14:00:00Z
inv_1005,processing,52000,0,USD,2026-07-03T08:45:00Z
inv_1006,completed,7500,0,EUR,2026-07-03T16:20:00Z
inv_1007,paid,18000,0,USD,2026-07-05T23:59:59Z
inv_1008,paid,22000,0,USD,2026-07-06T00:00:00Z
inv_1009,failed,64000,0,USD,2026-07-07T10:10:00Z
inv_1010,refunded,88000,88000,USD,2026-07-08T12:00:00Z
inv_1011,  Paid  ,15000,0,USD,2026-07-09T13:37:00Z
inv_1012,disputed,77000,0,USD,2026-07-10T09:00:00Z
inv_1013,paid,9007199254740993,0,USD,2026-07-11T10:00:00Z
inv_1014,completed,4500,1500,EUR,2026-07-12T18:00:00Z
inv_1015,paid,not_a_number,0,USD,2026-07-13T08:00:00Z
inv_1016,paid,60000,0,GBP,2026-07-14T07:30:00Z
